year;country;ocean;school_type;parameter_a;parameter_b;null_set_value
2008;CUW;1;2;0.476;138.011;110
2009;CUW;1;2;0.476;138.011;110
2010;CUW;1;2;0.476;138.011;110
2011;CUW;1;2;0.476;138.011;110
2012;CUW;1;2;0.476;138.011;110
2013;CUW;1;2;0.476;138.011;110
2014;CUW;1;2;0.476;138.011;110
2015;CUW;1;2;0.476;138.011;110
2016;CUW;1;2;0.476;138.011;110
2017;CUW;1;2;0.476;138.011;110
2018;CUW;1;2;0.476;138.011;110
2019;CUW;1;2;0.476;138.011;110
2020;CUW;1;2;0.476;138.011;110
2021;CUW;1;2;0.476;138.011;110
2022;CUW;1;2;0.476;138.011;110
2014;CUW;1;3;0.476;138.011;110
2015;CUW;1;3;0.476;138.011;110
2016;CUW;1;3;0.476;138.011;110
2017;CUW;1;3;0.476;138.011;110
2018;CUW;1;3;0.476;138.011;110
2019;CUW;1;3;0.476;138.011;110
2020;CUW;1;3;0.476;138.011;110
2021;CUW;1;3;0.476;138.011;110
2022;CUW;1;3;0.476;138.011;110
1990;CPV;1;1;1.478;100.062;90
1991;CPV;1;1;1.478;100.062;90
1992;CPV;1;1;0.478;127.984;95
1993;CPV;1;1;0.478;127.984;95
1994;CPV;1;1;0.478;127.984;95
1995;CPV;1;1;0.478;127.984;95
1996;CPV;1;1;0.478;127.984;95
1997;CPV;1;1;0.478;127.984;95
1998;CPV;1;1;0.478;127.984;95
1999;CPV;1;1;0.478;127.984;95
2000;CPV;1;1;0.478;127.984;95
2001;CPV;1;1;0.666;128.483;120
2002;CPV;1;1;0.666;128.483;120
2003;CPV;1;1;0.547;122.071;117
2004;CPV;1;1;0.547;122.071;117
2005;CPV;1;1;0.599;122.716;121
2006;CPV;1;1;0.599;122.716;121
2007;CPV;1;1;0.599;122.716;121
2008;CPV;1;1;0.599;122.716;121
2009;CPV;1;1;0.599;122.716;121
2010;CPV;1;1;0.599;122.716;121
2011;CPV;1;1;0.599;122.716;121
2012;CPV;1;1;0.599;122.716;121
2013;CPV;1;1;0.599;122.716;121
2014;CPV;1;1;0.599;122.716;121
2015;CPV;1;1;0.599;122.716;121
2016;CPV;1;1;0.599;122.716;121
2017;CPV;1;1;0.599;122.716;121
2018;CPV;1;1;0.599;122.716;121
2019;CPV;1;1;0.599;122.716;121
2020;CPV;1;1;0.599;122.716;121
2021;CPV;1;1;0.599;122.716;121
2022;CPV;1;1;0.599;122.716;121
1990;CPV;1;2;1.478;100.062;90
1991;CPV;1;2;1.478;100.062;90
1992;CPV;1;2;0.478;127.984;95
1993;CPV;1;2;0.478;127.984;95
1994;CPV;1;2;0.478;127.984;95
1995;CPV;1;2;0.478;127.984;95
1996;CPV;1;2;0.478;127.984;95
1997;CPV;1;2;0.478;127.984;95
1998;CPV;1;2;0.478;127.984;95
1999;CPV;1;2;0.478;127.984;95
2000;CPV;1;2;0.478;127.984;95
2001;CPV;1;2;0.666;128.483;113
2002;CPV;1;2;0.666;128.483;113
2003;CPV;1;2;0.547;122.071;103.5
2004;CPV;1;2;0.547;122.071;103.5
2005;CPV;1;2;0.476;138.011;110
2006;CPV;1;2;0.476;138.011;110
2007;CPV;1;2;0.476;138.011;110
2008;CPV;1;2;0.476;138.011;110
2009;CPV;1;2;0.476;138.011;110
2010;CPV;1;2;0.476;138.011;110
2011;CPV;1;2;0.476;138.011;110
2012;CPV;1;2;0.476;138.011;110
2013;CPV;1;2;0.476;138.011;110
