ocean_code;species_code;species_fao_code;ld1_class;lf_class;ratio
2;1;YFT;10.5;36;3.1
2;1;YFT;10.5;38;0.4
2;1;YFT;11.0;24;0.1
2;1;YFT;11.0;26;0.9
2;1;YFT;11.0;28;5.7
2;1;YFT;11.0;30;19.1
2;1;YFT;11.0;32;32.3
2;1;YFT;11.0;34;27.4
2;1;YFT;11.0;36;11.7
2;1;YFT;11.0;38;2.5
2;1;YFT;11.0;40;0.3
2;1;YFT;11.5;26;0.1
2;1;YFT;11.5;28;1.3
2;1;YFT;11.5;30;7.4
2;1;YFT;11.5;32;21.6
2;1;YFT;11.5;34;32.5
2;1;YFT;11.5;36;25
2;1;YFT;11.5;38;9.9
2;1;YFT;11.5;40;2
2;1;YFT;11.5;42;0.2
2;1;YFT;12.0;28;0.2
2;1;YFT;12.0;30;1.9
2;1;YFT;12.0;32;9.4
2;1;YFT;12.0;34;23.8
2;1;YFT;12.0;36;32
2;1;YFT;12.0;38;22.5
2;1;YFT;12.0;40;8.4
2;1;YFT;12.0;42;1.6
2;1;YFT;12.0;44;0.2
2;1;YFT;12.5;30;0.4
2;1;YFT;12.5;32;2.7
2;1;YFT;12.5;34;11.5
2;1;YFT;12.5;36;25.7
2;1;YFT;12.5;38;31.2
2;1;YFT;12.5;40;20.1
2;1;YFT;12.5;42;7
2;1;YFT;12.5;44;1.3
2;1;YFT;12.5;46;0.1
2;1;YFT;13.0;32;0.6
2;1;YFT;13.0;34;3.7
2;1;YFT;13.0;36;13.7
2;1;YFT;13.0;38;27.3
2;1;YFT;13.0;40;29.7
2;1;YFT;13.0;42;17.9
2;1;YFT;13.0;44;5.9
2;1;YFT;13.0;46;1.1
2;1;YFT;13.0;48;0.1
2;1;YFT;13.5;32;0.1
2;1;YFT;13.5;34;0.9
2;1;YFT;13.5;36;5
2;1;YFT;13.5;38;15.9
2;1;YFT;13.5;40;28.3
2;1;YFT;13.5;42;28.3
2;1;YFT;13.5;44;15.7
2;1;YFT;13.5;46;4.9
2;1;YFT;13.5;48;0.8
2;1;YFT;13.5;50;0.1
2;1;YFT;14.0;34;0.1
2;1;YFT;14.0;36;1.3
2;1;YFT;14.0;38;6.4
2;1;YFT;14.0;40;18
2;1;YFT;14.0;42;29
2;1;YFT;14.0;44;26.5
2;1;YFT;14.0;46;13.8
2;1;YFT;14.0;48;4.1
2;1;YFT;14.0;50;0.7
2;1;YFT;14.0;52;0.1
2;1;YFT;14.5;36;0.2
2;1;YFT;14.5;38;1.8
2;1;YFT;14.5;40;7.9
2;1;YFT;14.5;42;20.1
2;1;YFT;14.5;44;29.3
2;1;YFT;14.5;46;24.7
2;1;YFT;14.5;48;12
2;1;YFT;14.5;50;3.4
2;1;YFT;14.5;52;0.5
2;1;YFT;14.5;54;0.1
2;1;YFT;15.0;38;0.4
2;1;YFT;15.0;40;2.5
2;1;YFT;15.0;42;9.7
2;1;YFT;15.0;44;21.9
2;1;YFT;15.0;46;29.2
2;1;YFT;15.0;48;22.7
2;1;YFT;15.0;50;10.4
2;1;YFT;15.0;52;2.8
2;1;YFT;15.0;54;0.4
2;1;YFT;15.5;38;0.1
2;1;YFT;15.5;40;0.6
2;1;YFT;15.5;42;3.4
2;1;YFT;15.5;44;11.5
2;1;YFT;15.5;46;23.4
2;1;YFT;15.5;48;28.5
2;1;YFT;15.5;50;20.8
2;1;YFT;15.5;52;9
2;1;YFT;15.5;54;2.3
2;1;YFT;15.5;56;0.4
